date,stock,close_price,volume,daily_return,7day_ma,30day_ma,volatility
2024-02-13,AAPL,183.202392578125,56529500,-1.127423958216145,185.9615827287946,185.61184743245443,0.8452179992199148
2024-02-14,AAPL,182.3212127685547,54630500,-0.4809870641806935,185.49613516671315,185.5704818725586,0.7212028349480204
2024-02-15,AAPL,182.0341033935547,65434500,-0.1574744763048863,184.76083374023435,185.56536051432292,0.5385793535256348
2024-02-16,AAPL,180.49948120117188,49752500,-0.8430410366924379,183.79076276506694,185.58621266682943,0.519215018887856
2024-02-20,AAPL,179.75694274902344,53665600,-0.41137982625050196,182.8685847691127,185.60637410481772,0.5202612310807043
2024-02-21,AAPL,180.5093994140625,41371400,0.41859671928756725,181.9449920654297,185.50725199381512,0.5229487519292444
2024-02-22,AAPL,182.53900146484372,52292200,1.1243747180863517,181.55179050990515,185.4896250406901,0.7675541745432585
2024-02-23,AAPL,180.70741271972656,45119700,-1.0033958389270126,181.19536481584822,185.37633819580077,0.74394321695504
2024-02-26,AAPL,179.36093139648438,40867400,-0.7451168178311263,180.77246747698103,185.23794504801432,0.7672966664669258
2024-02-27,AAPL,180.81629943847656,54318900,0.8114186465585593,180.59849548339844,185.1371866861979,0.8640706791772592
2024-02-28,AAPL,179.61834716796875,48953900,-0.6625244926635743,180.47261919294084,185.0719746907552,0.8403098186481204
2024-02-29,AAPL,178.95498657226562,136682600,-0.3693167241333062,180.3580540248326,185.01596323649088,0.8375815415252893
2024-03-01,AAPL,177.87579345703125,73563100,-0.6030528323940132,179.98182460239954,184.72786560058594,0.8290816279895508
2024-03-04,AAPL,173.361083984375,81510100,-2.5381247132690077,178.67069353376115,184.1927042643229,0.9891933731365086
2024-03-05,AAPL,168.43055725097656,95132400,-2.844079317041437,176.91685703822546,183.41639404296876,1.2768144878774212
2024-03-06,AAPL,167.44046020507812,68587700,-0.5878369472013922,175.21393258231026,182.56456247965494,1.2832705248096692
2024-03-07,AAPL,167.3216552734375,71765100,-0.0709535386459903,173.28612627301897,181.73118336995444,1.1108119607037144
2024-03-08,AAPL,169.0344696044922,76267000,1.023665662556117,171.7741437639509,180.9657755533854,1.372600780638125
2024-03-11,AAPL,171.034423828125,60139500,1.1831635454663925,170.64263480050224,180.32471364339193,1.5748116446116311
2024-03-12,AAPL,171.50962829589844,59825400,0.2778414176148436,169.7331826346261,179.72223358154298,1.6124327909753455
2024-03-13,AAPL,169.43052673339844,52488700,-1.2122360611224736,169.17167445591517,179.172075398763,1.3978055245164454
2024-03-14,AAPL,171.2819366455078,72913500,1.0927251114686065,169.57901436941964,178.80360412597656,0.9240452542038293
2024-03-15,AAPL,170.9057159423828,121752700,-0.21964995871318616,170.0740509033203,178.3415100097656,0.8781592464076019
2024-03-18,AAPL,171.9947967529297,75604200,0.6372407175158745,170.74164254324776,177.94900817871093,0.8695407443287985
2024-03-19,AAPL,174.3313751220703,55215200,1.3585168930994485,171.49834333147322,177.5740758260091,0.9176087403270006
2024-03-20,AAPL,176.89566040039062,53423100,1.47092585974542,172.33566284179688,177.2312240600586,0.9615638092700082
2024-03-21,AAPL,169.66810607910156,106181300,-4.08577254237329,172.07258823939733,176.64382832845052,1.9870177402442915
2024-03-22,AAPL,170.569091796875,71160100,0.5310283344315714,172.23524039132255,176.1223917643229,1.9384295199696004
2024-03-25,AAPL,169.1533203125,54288300,-0.8300281542572785,171.93115234375,175.52835083007812,1.9123749014592863
2024-03-26,AAPL,168.02462768554688,57388400,-0.6672601074977025,171.51956830705916,174.95279134114583,1.9220618514027363
2024-03-27,AAPL,171.58885192871094,60273300,2.121251088164522,171.4615761893136,174.5656733194987,2.106226534456419
2024-03-28,AAPL,169.77703857421875,65672700,-1.055903885437115,170.81095668247767,174.1475341796875,2.0405809583277383
2024-04-01,AAPL,168.3414306640625,46240500,-0.8455842569834116,169.58892386300224,173.69111175537108,1.8754346340249692
2024-04-02,AAPL,167.1632843017578,49329500,-0.6998552629956967,169.23109218052454,173.24657185872397,1.150128642677161
2024-04-03,AAPL,167.96519470214844,47691700,0.4797168252228312,168.8591068812779,172.8535135904948,1.1447949042419243
2024-04-04,AAPL,167.14344787597656,53704400,-0.4892363728265736,168.57198224748885,172.4079818725586,1.1212324007975565
2024-04-05,AAPL,167.89588928222656,42104800,0.4501770280629369,168.55359104701452,171.919878133138,1.117390336048306
2024-04-08,AAPL,166.7771453857422,37425500,-0.6663319163245363,167.86620439801897,171.45553588867188,0.6183530041877687
2024-04-09,AAPL,167.98501586914062,42373800,0.724242209929149,167.6102011544364,171.0763387044271,0.6694415610392347
2024-04-10,AAPL,166.11378479003906,49709300,-1.1139273758554946,167.2919660295759,170.5862548828125,0.7215935524298863
2024-04-11,AAPL,173.3016815185547,91070300,4.327092262451804,168.16887991768974,170.37569936116537,1.8091014996459487
2024-04-12,AAPL,174.79669189453125,101670900,0.8626635142120698,169.14480808803015,170.23708953857422,1.8131044609487403
2024-04-15,AAPL,170.97503662109375,73531800,-2.1863430205781076,169.69217790876115,170.00706431070964,2.0752042708783387
2024-04-16,AAPL,167.69790649414062,73711200,-1.916730179865811,169.6638946533203,169.81829172770182,2.2409481264882296
2024-04-17,AAPL,166.33160400390625,50901200,-0.814740338026887,169.6002458844866,169.74832661946616,2.2490386273177325
2024-04-18,AAPL,165.38108825683594,43122900,-0.5714582942685897,169.22825622558594,169.67968088785807,2.2311306394212687
2024-04-19,AAPL,163.3614044189453,68149400,-1.221230226006298,168.8350590297154,169.54767252604168,2.2387963475903527
2024-04-22,AAPL,164.1930389404297,48116400,0.5090765009289511,167.53382437569755,169.38629150390625,1.1450835981100767
2024-04-23,AAPL,165.24252319335938,49537800,0.6391770684690545,166.16894313267298,169.19322814941407,1.0941987236096924
2024-04-24,AAPL,167.34149169921875,48251800,1.2702350855555933,165.64986528669084,169.05429026285807,1.1404254181224303
2024-04-25,AAPL,168.20285034179688,50558300,0.5147310651002934,165.7220001220703,169.01336771647135,0.9140348556254713
2024-04-26,AAPL,167.61868286132812,44838400,-0.3472993943216096,165.90586853027344,168.8912592569987,0.8558473449655934
2024-04-29,AAPL,171.77699279785156,68169400,2.4808153038427205,166.81956917898995,168.92030181884766,1.1690492808801827
2024-04-30,AAPL,168.63844299316406,65934800,-1.8271072007768674,167.57343183244978,168.8084233601888,1.3329303820909373
2024-05-01,AAPL,167.61868286132812,50383100,-0.6047020559109884,168.06280953543526,168.58466695149738,1.3916677000907995
2024-05-02,AAPL,171.31166076660156,94214900,2.203201840172353,168.92982918875558,168.3985336303711,1.5687875014067114
2024-05-03,AAPL,181.55886840820312,163224100,5.98161712737264,170.96088300432478,168.79489237467448,2.607515431282849
2024-05-06,AAPL,179.90545654296875,78569700,-0.9106753526999078,172.63268389020647,169.1061045328776,2.7230630514995435
2024-05-07,AAPL,180.58860778808597,77305800,0.37972791834361974,174.48553030831474,169.4872807820638,2.6767350357184285
2024-05-08,AAPL,180.92523193359372,45057100,0.18640386546573406,175.79242161342077,169.91730092366535,2.6193927357605213
2024-05-09,AAPL,182.73704528808597,48983000,1.0014155212785703,177.80650765555245,170.28890736897787,2.3564818181993576
2024-05-10,AAPL,181.47796630859372,50759500,-0.6890113482503235,179.7864052908761,170.67893829345704,2.3672949263916654
2024-05-13,AAPL,184.6802215576172,72044800,1.7645421723418542,181.69619968959265,171.22356465657552,2.3408801636572676
2024-05-14,AAPL,185.82034301757807,52393600,0.6173489777870911,182.3049817766462,171.84546661376953,0.9302155585950802
2024-05-15,AAPL,188.09068298339844,70400000,1.221793011976957,183.47429983956474,172.51631622314454,0.7930924623889134
2024-05-16,AAPL,188.2096405029297,52845200,0.0632447698335703,184.56301879882812,173.21852264404296,0.8190208499895367
2024-05-17,AAPL,188.2393951416016,41282900,0.015809306363046005,185.60789925711495,173.89663950602213,0.8355796785396032
2024-05-20,AAPL,189.39930725097656,44361300,0.6161898833676238,186.55965096609933,174.6507115681966,0.8149172471054292
2024-05-21,AAPL,190.69810485839844,42309400,0.6857457011185453,187.87681361607142,175.4078145345052,0.6180785262941971
2024-05-22,AAPL,189.26055908203125,34648500,-0.7538332787494828,188.53114754813058,176.17937367757162,0.636055907182077
2024-05-23,AAPL,185.27505493164065,51005900,-2.105829217519728,188.45324925013952,176.57848612467447,1.1060680882116278
2024-05-24,AAPL,188.34844970703125,36327000,1.658828154996117,188.49007306780135,177.03021138509115,1.1975003524448826
2024-05-28,AAPL,188.35836791992188,52280100,0.005265885068905796,188.51131984165735,177.60965576171876,1.1973981874484678
2024-05-29,AAPL,188.65577697753903,53068000,0.15789532522578753,188.57080296107702,178.3082514444987,1.1985693956961552
2024-05-30,AAPL,189.64720153808597,49889100,0.5255203823760768,188.60621643066406,179.08543802897137,1.1917469477644198
2024-05-31,AAPL,190.5989532470703,75158300,0.5018538113219728,188.59205191476005,179.92603352864583,1.1766806834081747
2024-06-03,AAPL,192.36366271972656,50080500,0.9258757420187225,189.0353524344308,180.8927754720052,1.1689260137231678
2024-06-04,AAPL,192.680908203125,47471400,0.1649196521386065,190.09333147321428,181.84237111409504,0.5731937907227771
2024-06-05,AAPL,194.1878662109375,54156800,0.782100324243773,190.92753383091517,182.80721588134764,0.3436214671352545
2024-06-06,AAPL,192.80975341796875,41181800,-0.7096801771701688,191.56344604492188,183.65615793863932,0.5423435843531704
2024-06-07,AAPL,195.19911193847656,53103900,1.2392311478808926,192.49820818219865,184.5560333251953,0.6302075770124058
2024-06-10,AAPL,191.46145629882807,97010200,-1.9147913136134287,192.75738743373327,185.35079243977864,1.1040737160445266
2024-06-11,AAPL,205.37098693847656,172373300,7.264924705230946,194.86767796107702,186.47059224446613,2.9267430905325953
2024-06-12,AAPL,211.24017333984372,198134300,2.857845934745118,197.56432233537947,187.8906499226888,2.9970100232754406
2024-06-13,AAPL,212.4001007080078,97862700,0.5491035866070693,200.38134983607702,189.38336385091145,2.9744075864470427
2024-06-14,AAPL,210.6651153564453,70122700,-0.8168477066532231,202.73524257114954,190.6951456705729,3.092268646576549
2024-06-17,AAPL,214.80923461914065,93728300,1.9671597054327083,205.8780255998884,191.8034912109375,2.9787412286712995
2024-06-18,AAPL,212.44964599609372,79943300,-1.0984577209776414,208.34238760811942,192.88829752604167,3.150994089855451
2024-06-20,AAPL,207.87924194335935,86172500,-2.1512881470362233,210.68778555733817,193.79798533121746,3.1916931722745514
2024-06-21,AAPL,205.7080841064453,241805100,-1.044432246633653,210.73594229561942,194.62408040364582,1.8221487699158196
2024-06-24,AAPL,206.3524627685547,80727000,0.31324907084153697,210.0376979282924,195.41126098632813,1.3612782704261062
2024-06-25,AAPL,207.2745056152344,55549700,0.4468290973167921,209.3054700578962,196.27114562988282,1.350829968640378
2024-06-26,AAPL,211.41860961914065,66213200,1.9993312692295095,209.4131120954241,197.16242523193358,1.5844875075888387
2024-06-27,AAPL,212.2613220214844,49772700,0.3985989709524018,209.04912458147322,198.04379119873047,1.3659590649769318
2024-06-28,AAPL,208.8111724853516,82542700,-1.6254254441059213,208.5293426513672,198.7344741821289,1.438733736256867
2024-07-01,AAPL,214.8885498046875,60402900,2.910465588119937,209.53067234584265,199.62377115885417,1.5815372128277387
2024-07-02,AAPL,218.3782958984375,58046200,1.6239795451743921,211.3407026018415,200.62840118408204,1.4688834187275859
2024-07-03,AAPL,219.64730834960935,37369800,0.58110740627908,213.2399662562779,201.63666788736978,1.455489989385897
2024-07-05,AAPL,224.39617919921875,60412400,2.162043726049534,215.68591962541853,202.7599370320638,1.508902497871729
2024-07-08,AAPL,225.8634796142578,59085900,0.6538883238900395,217.74947248186385,203.98003438313802,1.4678169810804083
2024-07-09,AAPL,226.7160797119141,48076100,0.37748470851171056,219.81443786621094,205.3614018758138,1.4691787303054122
2024-07-10,AAPL,230.97915649414065,62627700,1.8803592527021573,222.98129272460938,206.7824254353841,0.9481807316315011
2024-07-11,AAPL,225.61561584472656,64710600,-2.3220885948426084,224.51373073032923,208.02433369954426,1.5076137254234008
2024-07-12,AAPL,228.56011962890625,53046500,1.3050975098311213,225.96827697753906,209.35447845458984,1.4798899618723622
2024-07-15,AAPL,232.38694763183597,62631300,1.6743200909865807,227.78822544642858,210.77913665771484,1.5268020951402905
2024-07-16,AAPL,232.80337524414065,43234300,0.1791957838201963,228.98925345284601,212.18595072428386,1.4159559684385723
2024-07-17,AAPL,226.9143524169922,57345900,-2.5296123052222286,229.13937813895092,213.33764038085937,1.8240273035377108
2024-07-18,AAPL,222.2547149658203,66034600,-2.0534785047924276,228.5020403180804,214.32343393961588,1.982623036267777
2024-07-19,AAPL,222.3836212158203,49151500,0.057999331991598346,227.27410670689179,215.26329243977864,1.7609781296748468
2024-07-22,AAPL,222.03663635253903,48201800,-0.15602986469247515,226.76282392229353,216.23752187093098,1.5732669205604486
2024-07-23,AAPL,223.0775909423828,39960300,0.4688210949975735,225.97960553850447,217.16680450439452,1.4665058283049544
2024-07-24,AAPL,216.66314697265625,61777600,-2.87543179152554,223.7333483014788,218.0068608601888,1.4344084937936863
2024-07-25,AAPL,215.6221923828125,51391200,-0.4804483846877372,221.27889360700334,218.34856770833332,1.3650197927226002
2024-07-26,AAPL,216.0881500244141,41601300,0.2160991113448807,219.73229326520647,218.51016693115236,1.2706690207333569
2024-07-29,AAPL,216.36575317382807,36311800,0.12846754872148924,218.89101300920757,218.6423553466797,1.1411684214597264
2024-07-30,AAPL,216.9209442138672,41643800,0.2565983904084357,218.1106305803571,218.85088297526042,1.1561622292721352
2024-07-31,AAPL,220.1727600097656,50036300,1.4990787577857656,217.84436253138952,219.02966715494793,1.3544109849419919
2024-08-01,AAPL,216.48472595214844,62501000,-1.67506373515669,216.90252467564173,219.16416982014974,1.440720844221913
