Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02,183.56219482421875,149.92999267578125,137.03738403320312,363.8014831542969,248.4199981689453,186.33085840634024,152.3800048828125,138.30689034141093,368.7356138207432,251.25,181.83178197139316,148.38999938964844,135.36123496575607,359.779620180644,244.41000366210938,185.05528848269014,151.5399932861328,137.41427392066478,366.73448635273246,250.0800018310547,82488700,47339400,23711200,25258600,104654200
2024-01-03,182.18771362304688,148.47000122070312,137.78123474121094,363.5366516113281,238.4499969482422,183.7994740724038,151.0500030517578,138.48542134501582,366.1459576250118,245.67999267578125,181.37688453456076,148.3300018310547,135.9563213328076,361.48648901542015,236.32000732421875,182.15805061619977,149.1999969482422,136.1249259824603,361.97695939537715,244.97999572753906,58414500,49425500,24212100,23083500,121082600
2024-01-04,179.87391662597656,144.57000732421875,135.27197265625,360.9273681640625,237.92999267578125,181.04070184894312,147.3800048828125,138.01927043379123,365.98902639400353,242.6999969482422,178.85544644389557,144.0500030517578,135.2323072061994,360.17205450864094,237.72999572753906,180.11122069139344,145.58999633789062,137.28533097133266,363.6053473830013,239.25,71983600,56039800,27137700,20901500,102629300
2024-01-05,179.15211486816406,145.24000549316406,134.61740112304688,360.740966796875,237.49000549316406,180.71443234786256,146.58999633789062,136.0356871158028,364.96881910463645,240.1199951171875,178.1534248404595,144.52999877929688,134.04215363464405,359.5147908390338,234.89999389648438,179.95306152436652,144.69000244140625,135.62904430152844,361.93771572916546,236.86000061035156,62379700,45153100,22513900,21004600,92488900
2024-01-08,183.48306274414062,149.10000610351562,137.70188903808594,367.5487060546875,240.4499969482422,183.52262348166371,149.39999389648438,137.87049368814525,368.04899543580075,241.25,179.46850790157933,146.14999389648438,135.1430361482217,361.9769695664422,235.3000030517578,180.0519005320401,146.74000549316406,135.17278901977872,362.26142084093584,236.13999938964844,59144500,46757100,21404000,23134000,85166600
2024-01-09,183.0677947998047,151.3699951171875,139.7946014404297,368.627685546875,234.9600067138672,183.07767744176536,151.7100067138672,140.33018342656837,368.82385571015396,238.9600067138672,180.68476543102267,148.2100067138672,137.01755057751834,364.115352688409,232.0399932861328,181.8614486084712,148.3300018310547,137.3646876105234,364.91973118486953,238.11000061035156,42841800,43812600,24759600,20830000,96705700
2024-01-10,184.1060333251953,153.72999572753906,141.1136932373047,375.47467041015625,233.94000244140625,184.31367440860302,154.4199981689453,141.82779242384171,376.8480113734613,235.5,181.8614365329183,151.8800048828125,139.75492832050645,369.14762069750896,231.2899932861328,182.2866315170422,152.05999755859375,139.84418693539638,369.1966557593691,235.10000610351562,46792900,44421800,21320200,25514200,91628500
2024-01-11,183.5127410888672,155.17999267578125,140.9153594970703,377.29925537109375,227.22000122070312,184.9564063690912,157.1699981689453,144.02962003416567,383.2339350900792,230.92999267578125,181.5647895230864,153.1199951171875,139.4871608829634,373.1302570741052,225.3699951171875,184.4521049955326,155.0399932861328,142.31380523452594,378.64313944413783,230.57000732421875,49128400,49072700,24008700,27850800,105873600
2024-01-12,183.83905029296875,154.6199951171875,141.48065185546875,381.0660705566406,218.88999938964844,184.64987951630312,156.1999969482422,142.02614637782855,381.27205974083927,225.33999633789062,183.11722519297732,154.00999450683594,140.6574689161085,377.31886954764786,217.14999389648438,183.97748271061099,155.38999938964844,141.50049214729324,378.14285622037966,220.0800018310547,40477800,40484200,18785500,21661200,123043800
2024-01-16,181.57469177246094,153.16000366210938,141.32199096679688,382.8317565917969,219.91000366210938,182.1976301200088,154.99000549316406,143.16674483949535,386.52010359232963,223.49000549316406,178.90489995610474,152.14999389648438,140.29050754673418,380.2322694497991,212.17999267578125,180.12114381484557,153.52999877929688,140.83600213102596,386.15716028479716,215.10000610351562,65603000,41384600,22670500,27202300,115355000
2024-01-17,180.63531494140625,151.7100067138672,140.3103485107422,382.0469665527344,215.5500030517578,180.8825167727283,152.14999389648438,140.67731071751322,382.6747530191384,215.6699981689453,178.281963767062,149.91000366210938,137.76140795638582,377.475779406989,212.00999450683594,179.24110807963172,151.49000549316406,140.19133701313217,380.58537452394654,214.86000061035156,47317400,34953400,20968600,22234100,103164400
2024-01-18,186.5187530517578,153.5,142.3038787841797,386.36309814453125,211.8800048828125,187.0230394166836,153.77999877929688,143.02790581235737,386.48080623556007,217.4499969482422,183.7500891900385,151.82000732421875,140.82610211833182,382.6845706202122,208.74000549316406,184.00717369388227,152.77000427246094,140.88560787216306,384.2540816844417,216.8800048828125,78005800,37850200,25746400,23392100,108595400
2024-01-19,189.4159393310547,155.33999633789062,145.1800994873047,391.0716552734375,212.19000244140625,189.80157360580037,155.75999450683594,145.24951781414885,391.0716552734375,213.19000244140625,186.70661676571424,152.74000549316406,143.19649387664043,386.0001785110236,207.55999755859375,187.21090309791916,153.8300018310547,143.55354349190839,388.21711414753673,209.99000549316406,68903000,51651600,34271900,29331100,102260300
2024-01-22,191.71983337402344,154.77999877929688,144.7932891845703,388.95281982421875,208.8000030517578,193.14371820043874,157.0500030517578,147.17360973542569,392.98447186970276,217.8000030517578,190.1080727596782,153.89999389648438,144.64450969157375,386.088459710553,206.27000427246094,190.14763349819026,156.88999938964844,145.89419084442545,392.3959014424087,212.25999450683594,60133900,43687500,32200400,27016900,117952500
2024-01-23,192.99542236328125,156.02000427246094,145.8346405029297,391.2973327636719,209.13999938964844,193.55904982724218,156.2100067138672,145.97349225478118,391.76819518914533,215.64999389648438,191.66054141727486,153.92999267578125,144.3072712325634,386.4220551220332,207.75,192.83722464512005,154.85000610351562,144.69407362227153,388.2073748073525,211.3000030517578,42355600,37986000,21636100,20525900,106605900
2024-01-24,192.32301330566406,156.8699951171875,147.48106384277344,394.8875427246094,207.8300018310547,194.18197579456825,158.50999450683594,148.6216460696022,397.89903829237466,212.72999572753906,192.16480052192722,156.47999572753906,146.88599128129252,392.81777191847715,206.77000427246094,193.23271418014866,157.8000030517578,147.32237177289502,393.8869938433054,211.8800048828125,53631300,48547300,25233500,24867000,123369900
2024-01-25,191.9967498779297,157.75,150.6250762939453,397.15350341796875,182.6300048828125,194.07325165678844,158.50999450683594,151.7954113890045,399.25273113363767,193.0,190.94861634521232,154.5500030517578,148.31417410884393,394.858105500646,180.05999755859375,193.03500076735907,156.9499969482422,148.83984348061125,396.613997943498,189.6999969482422,54822100,43638600,29149100,21021200,198076800
2024-01-26,190.26629638671875,159.1199951171875,150.94247436523438,396.23138427734375,183.25,192.58010181757646,160.72000122070312,151.2895962737746,398.4287118822507,186.77999877929688,189.7916731135176,157.91000366210938,149.77213916215013,394.75997317345707,182.10000610351562,192.09559590318426,158.4199981689453,149.861412918024,396.66300059602537,185.5,44594000,51047400,26115500,17803300,107343200
2024-01-29,189.58401489257812,161.25999450683594,152.2516326904297,401.91107177734375,190.92999267578125,190.04875551955823,161.2899932861328,152.51942366682596,402.16612596865383,191.47999572753906,187.4580852833725,158.89999389648438,150.18868118167268,396.6237864171102,183.6699981689453,189.86087972294905,159.33999633789062,150.81352174869434,398.3208248033987,185.6300048828125,47145600,45270400,27784300,24510200,125013100
2024-01-30,185.93528747558594,159.0,150.2184600830078,400.80255126953125,191.58999633789062,189.65321196848186,161.72999572753906,152.3607426484438,405.1775383466925,196.36000061035156,185.37167525303494,158.49000549316406,149.95066908718712,398.7033537683388,190.61000061035156,188.8028372268088,160.6999969482422,151.5474722147389,404.4026167586847,195.3300018310547,55859400,45207400,36331800,33477600,109982300
2024-01-31,182.3360595703125,155.1999969482422,138.9515838623047,390.00244140625,187.2899932861328,185.00585134318092,159.00999450683594,142.81960888272778,407.404352059521,193.97000122070312,182.28663127585358,154.80999755859375,138.7234583129567,389.6394980894709,185.85000610351562,184.94651023142666,157.0,142.44271896094438,399.20367116692984,187.0,55467800,50284400,71910000,47871100,103221400
2024-02-01,184.76852416992188,159.27999877929688,140.0028839111328,396.0842590332031,188.86000061035156,184.857513201702,159.75999450683594,141.88730313768718,400.2238302394902,189.8800048828125,181.7625567551165,155.6199951171875,139.63590659199247,394.1419855506921,184.27999877929688,181.93065217781273,155.8699951171875,140.9550061040643,394.17141257606636,188.5,64885400,76542400,40466500,30657700,91843300
2024-02-02,183.76983642578125,171.80999755859375,141.212890625,403.3824768066406,187.91000366210938,185.2332669548565,172.5,141.45091361668173,404.7852149654356,188.69000244140625,177.24370243482153,167.3300018310547,135.38108518943704,395.86846668943514,182.0,177.84687547061628,169.19000244140625,138.11845552974717,396.11370188933375,185.0399932861328,102551700,117218300,62499600,28256700,110612700
2024-02-05,185.579345703125,170.30999755859375,142.50221252441406,397.9185791015625,181.05999755859375,187.1317803970082,170.5500030517578,144.27754793012062,403.32357180404665,184.67999267578125,183.75994390321247,167.6999969482422,141.60959609870966,396.2902139876251,175.00999450683594,186.0440863383638,170.1999969482422,141.64927668377285,402.0875769731937,184.25999450683594,69668800,55081300,38505400,25352300,134294400
2024-02-06,187.18124389648438,169.14999389648438,142.91876220703125,397.7616882324219,185.10000610351562,187.1911265388062,170.7100067138672,144.16842804795627,400.1944322717671,186.49000549316406,184.67956238073768,167.64999389648438,142.01621819950975,395.23087405866585,177.11000061035156,184.76855142564483,169.38999938964844,143.46424153576635,398.1442695260025,177.2100067138672,43490800,42505500,29128200,18382600,122676000
2024-02-07,187.29000854492188,170.52999877929688,144.3469696044922,406.15850830078125,187.5800018310547,188.91165203661865,170.8800048828125,144.4263156427516,406.4037434899342,189.7899932861328,186.49895962721544,168.94000244140625,142.7501665270815,399.63525825649936,182.67999267578125,188.50623739169367,169.47999572753906,143.57336464859975,399.67450426882596,188.17999267578125,53439000,47174100,25208900,22340500,111535200
2024-02-08,186.2122039794922,169.83999633789062,144.71392822265625,406.2173767089844,189.55999755859375,187.418535043408,171.42999267578125,145.13048351940716,407.6397528307197,191.6199951171875,185.2530596605407,168.8800048828125,143.9105704979432,404.66750343056947,185.5800018310547,187.27021997882892,169.64999389648438,144.63458219465025,406.15852265638233,189.0,40962000,42316500,22563800,21225300,83034000
2024-02-09,186.9745635986328,174.4499969482422,147.7786102294922,412.5346374511719,193.57000732421875,188.10324181676,175.0,148.21500586230158,412.79951062359436,194.1199951171875,186.1329987846296,170.5800018310547,144.9817192012369,407.17870911735395,189.47999572753906,186.77653768433356,170.89999389648438,145.47762057784595,407.3356632361391,190.17999267578125,45155200,56986000,26829500,22032800,84476300
2024-02-12,185.2914276123047,172.33999633789062,146.32066345214844,407.3454895019531,188.1300048828125,186.79633688725167,175.38999938964844,148.11582406905052,412.7210259706923,194.72999572753906,184.93500212895557,171.5399932861328,146.161971374684,406.8452001103824,187.27999877929688,186.54881961012742,174.8000030517578,147.20336732419403,412.54446380988065,192.11000061035156,41781900,51050400,21564100,21202900,95498600
2024-02-13,183.202392578125,168.63999938964844,143.9502716064453,398.57586669921875,184.02000427246094,184.36078680146468,170.9499969482422,145.4677288254304,402.2543946406928,187.25999450683594,181.68758795653508,165.75,142.51216043512292,395.70171738557195,182.11000061035156,183.92515394948336,167.72999572753906,143.73207375880068,397.2221636270064,183.99000549316406,56529500,56345100,27837700,27824900,86759500
2024-02-14,182.32119750976562,170.97999572753906,144.7436981201172,402.4282531738281,188.7100067138672,183.68749754312392,171.2100067138672,145.31894554055629,402.77222335184723,188.88999938964844,180.6281880058035,168.27999877929688,142.90885694916992,397.59311635632974,183.35000610351562,183.47959151637605,169.2100067138672,144.88254990203635,401.03275815392834,185.3000030517578,54630500,42815500,22704200,20401200,81203000
2024-02-15,182.0341033935547,169.8000030517578,141.59970092773438,399.5487976074219,200.4499969482422,182.65785175424014,171.1699981689453,142.34355308517448,402.07448469518283,200.8800048828125,179.54903541760635,167.58999633789062,139.30863870421265,397.3179549607251,188.86000061035156,181.727184392981,170.5800018310547,141.96666314928402,401.1015670196542,189.16000366210938,65434500,49855200,37590700,21825500,120831800
2024-02-16,180.49948120117188,169.50999450683594,139.3681182861328,397.0918884277344,199.9499969482422,183.0142649801448,170.4199981689453,142.01622965333587,401.24895188558764,203.1699981689453,179.86583763061847,167.1699981689453,138.9912284210113,396.4825852713034,197.39999389648438,181.59845842120637,168.74000549316406,141.81787214200648,400.9246260176193,202.05999755859375,49752500,48107700,31468900,22296500,111346700
2024-02-20,179.75692749023438,167.0800018310547,139.96319580078125,395.8437805175781,193.75999450683594,180.61828269677792,168.7100067138672,140.91533307623592,397.5144455402651,198.60000610351562,178.21242224791314,165.74000549316406,138.34656764889544,391.1462141740097,189.1300048828125,179.98463913307552,167.8300018310547,138.51517229621072,396.28600214507156,196.1300048828125,53665600,41980300,25144700,24307900,104545800
2024-02-21,180.50938415527344,168.58999633789062,141.3814697265625,395.24432373046875,194.77000427246094,181.0737156195715,170.22999572753906,141.52032149117545,395.35244235543763,199.44000244140625,178.8658660184515,167.13999938964844,139.5267884940164,390.3698682526408,191.9499969482422,180.13315310757224,168.94000244140625,140.29048076624125,393.2690069492409,193.36000061035156,41371400,44420100,23223300,18518900,103500300
2024-02-22,182.53903198242188,174.5800018310547,142.9088592529297,404.5509948730469,197.41000366210938,183.1231842228548,174.8000030517578,143.8114034168082,405.710638303165,198.32000732421875,180.64801151557128,171.77000427246094,141.62944032274333,401.52412337910727,191.36000061035156,181.65787110291916,173.10000610351562,143.74196995787472,403.1161813071161,194.0,52292200,55392400,27191900,27009900,92739500
2024-02-23,180.7073974609375,174.99000549316406,142.77993774414062,403.2636413574219,191.97000122070312,183.20236045475278,175.75,143.49402183711422,408.68843759900807,197.57000732421875,180.4202689919066,173.6999969482422,142.2542683371376,401.91727194539897,191.5,183.1726595934398,174.27999877929688,142.4923064572686,408.5017417603321,195.30999755859375,45119700,59715200,19493800,16295900,78841900
2024-02-26,179.36093139648438,174.72999572753906,136.4423065185547,400.51190185546875,199.39999389648438,180.94503297704767,176.3699951171875,141.27238088903258,405.05222425854834,201.77999877929688,178.85598645977296,174.25999450683594,136.26377416065105,400.3349831970826,192.0,180.4302078946742,175.6999969482422,140.9748370483321,404.3642838981377,192.2899932861328,40867400,44368600,53641800,16193500,111747100
